75,Thai Noodles Cafe,"318 S. Milwaukee Avenue, Libertyville 60048",42.2806000000,-87.9527000000,2,16746014,https://www.zomato.com/chicago/thai-noodles-cafe-libertyville?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/res_imagery/16746014_RESTAURANT_0fcf8731dd92d1f7af4cdf40eee5efb1_c.jpg,4.0,119,
80,Thai Gourmet,"226 Peterson Road, Libertyville 60048",42.3061130000,-87.9638770000,2,16752551,https://www.zomato.com/chicago/thai-gourmet-libertyville?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"",3.9,93,
20,Maria's Mexican Restaurant,"9440 Foster Avenue, Chicago 60656",41.9735055556,-87.8638611111,3,16754172,https://www.zomato.com/chicago/marias-mexican-restaurant-ohare?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"",3.4,57,
82,Korean BBQ House,"3315 W. Bryn Mawr Avenue, Chicago 60659",41.9830290000,-87.7119680000,2,16735055,https://www.zomato.com/chicago/korean-bbq-house-north-park?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/res_imagery/16735055_RESTAURANT_3b49a0dba9155e48eda1a5e1de05be62_c.jpg,0,1,
86,J korean Restaurant,"1271 E Ogden Avenue, Unit 119 60563",41.7981250000,-88.1234666667,2,16747213,https://www.zomato.com/chicago/j-korean-restaurant-naperville?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"",3.3,34,
24,Italian Village,"Italian Village, 71 W Monroe Street, Chicago 60603",41.8824361111,-87.6305611111,4,16739882,https://www.zomato.com/chicago/italian-village-loop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/res_imagery/16739882_RESTAURANT_0efc7c778d96347e72e1b4639b972998_c.jpg,3.9,454,
22,Harry Caray's Italian Steakhouse & Bar,33 W Kinzie Street 60654,41.8893361111,-87.6291111111,4,16734853,https://www.zomato.com/chicago/harry-carays-italian-steakhouse-bar-river-north?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/res_imagery/16734853_RESTAURANT_d2421c1fd24c81e77e435a9fd93bd5d7_c.jpg,4.0,870,
27,Italian Ovens,"33157 N. US Highway 45, Grayslake 60030",42.3530000000,-88.0034000000,2,16744434,https://www.zomato.com/chicago/italian-ovens-grayslake?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"",3.3,39,
28,Italian Fiesta Pizzeria,8058 S. Halsted Street 60620,41.7477750000,-87.6441410000,1,16751974,https://www.zomato.com/chicago/italian-fiesta-pizzeria-auburn-gresham?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"",3.4,35,
83,Blue House Korean BBQ,"1484 Townline Road, Mundelein 60060",42.2406910000,-87.9787540000,4,16752006,https://www.zomato.com/chicago/blue-house-korean-bbq-mundelein?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"",4.0,128,
88,Song do Korean B.B.Q.,"4918 N. Lincoln Avenue, Chicago 60625",41.9713666667,-87.6904138889,2,16738203,https://www.zomato.com/chicago/song-do-korean-b-b-q-lincoln-square?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"",3.6,50,
21,RPM Italian,52 West Illinois Street 60654,41.8910570000,-87.6299890000,1,16754560,https://www.zomato.com/chicago/rpm-italian-river-north?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/res_imagery/16754560_RESTAURANT_2ddcc7344e0530962674bf71ff85d0f4_c.jpg,4.1,312,
25,Italian Fiesta Pizzeria,"1919 E. 71st Street, Chicago 60649",41.7658630000,-87.5786160000,1,16735110,https://www.zomato.com/chicago/italian-fiesta-pizzeria-south-shore?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"",4.2,203,
29,Italian Fiesta Pizzeria,"1400 E 47th Street, Suite F2, Chicago 60653",41.8100777778,-87.5921250000,1,16735109,https://www.zomato.com/chicago/italian-fiesta-pizzeria-kenwood?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"",3.8,78,
30,Italian Fiesta Pizzeria,"15425 S. Cottage Grove Avenue, Dolton 60419",41.6147000000,-87.5975000000,1,16743006,https://www.zomato.com/chicago/italian-fiesta-pizzeria-dolton?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"",3.3,26,
84,Woo Chon Korean BBQ Restaurant,"5744 N California Avenue, Chicago 60659",41.9862666667,-87.6994777778,3,16739493,https://www.zomato.com/chicago/woo-chon-korean-bbq-restaurant-west-ridge?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"",3.2,16,
89,San Korean Restaurant,"1063 N. Roselle Road, Schaumburg 60169",42.0467194444,-88.0785000000,2,16745117,https://www.zomato.com/chicago/san-korean-restaurant-schaumburg?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/res_imagery/16745117_RESTAURANT_1c72da5c643e78ee57f189764c8b24a5_c.jpg,3.2,24,
23,Italian Pizza Kitchen,11 Monaco Drive 60172,41.9834000000,-88.0897000000,2,16749413,https://www.zomato.com/chicago/italian-pizza-kitchen-roselle?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,https://b.zmtcdn.com/data/res_imagery/16749413_RESTAURANT_f7e3153db8e612581c41e6cc3c17a0b4_c.jpg,3.5,42,
26,Italian Kitchen Restaurant,648 Deerfield Road 60015,42.1674180000,-87.8441550000,3,16742764,https://www.zomato.com/chicago/italian-kitchen-restaurant-northbrook?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1,"",3.7,106,
